out in
-96.00 213.36 
-95.00 201.99 
-94.00 194.91 
-93.00 190.22 
-92.00 186.53 
-91.00 183.42 
-90.00 180.68 
-89.00 178.21 
-88.00 175.94 
-87.00 173.83 
-86.00 171.85 
-85.00 169.96 
-84.00 168.17 
-83.00 166.44 
-82.00 164.77 
-81.00 163.16 
-80.00 161.60 
-79.00 160.07 
-78.00 158.58 
-77.00 157.12 
-76.00 155.69 
-75.00 154.28 
-74.00 152.89 
-73.00 151.53 
-72.00 150.18 
-71.00 148.86 
-70.00 147.54 
-69.00 146.24 
-68.00 144.96 
-67.00 143.68 
-66.00 142.42 
-65.00 141.16 
-64.00 139.92 
-63.00 138.68 
-62.00 137.45 
-61.00 136.23 
-60.00 135.02 
-59.00 133.81 
-58.00 132.61 
-57.00 131.42 
-56.00 130.23 
-55.00 129.04 
-54.00 127.86 
-53.00 126.68 
-52.00 125.51 
-51.00 124.34 
-50.00 123.18 
-49.00 122.01 
-48.00 120.86 
-47.00 119.70 
-46.00 118.55 
-45.00 117.40 
-44.00 116.25 
-43.00 115.10 
-42.00 113.96 
-41.00 112.81 
-40.00 111.67 
-39.00 110.53 
-38.00 109.40 
-37.00 108.26 
-36.00 107.13 
-35.00 105.99 
-34.00 104.86 
-33.00 103.73 
-32.00 102.60 
-31.00 101.47 
-30.00 100.34 
-29.00 99.21 
-28.00 98.08 
-27.00 96.95 
-26.00 95.83 
-25.00 94.70 
-24.00 93.57 
-23.00 92.45 
-22.00 91.32 
-21.00 90.19 
-20.00 89.06 
-19.00 87.93 
-18.00 86.81 
-17.00 85.68 
-16.00 84.55 
-15.00 83.41 
-14.00 82.28 
-13.00 81.15 
-12.00 80.02 
-11.00 78.88 
-10.00 77.74 
-9.00 76.61 
-8.00 75.47 
-7.00 74.33 
-6.00 73.18 
-5.00 72.04 
-4.00 70.89 
-3.00 69.74 
-2.00 68.59 
-1.00 67.43 
0.00 66.27 
1.00 65.11 
2.00 63.94 
3.00 62.78 
4.00 61.60 
5.00 60.42 
6.00 59.24 
7.00 58.05 
